app_id,title,notes_excerpt,matched_term,matched_s3_field_family,classification_reason
8835,"Investigation of the causal association between vascular risk factors, cognitive function and dementia using genetic instruments",...r risk subsets of UK Biobank. When sufficient hospital episodes involving dementia and/or brain imaging markers of dementia become available we will repeat such analysis for these indicators of dementia. Full cohort,brain imaging,Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
14179,Sun exposure association with cardiovascular risk and mortality,"...tamin D and vascular biomarkers (ie blood pressure, cholesterol, CRP, cerebral blood flow/heart MRI) will highlight potential mechanisms through which sun exposure may impact on CVD, and mortality risk. The findings will facilitate enhanced risk prediction modellin...",heart MRI,Cardiac MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
44482,Identification and validation of causal variants effect on cardiovascular disease through immune-mediated inflammation,"...e genetic factors with quantitative indicators extracted from Electrocardiogram (ECG) and carotid ultrasound images. By connecting molecular traits with cardiovascular phenotypes, we will investigate the potential biological paths underlying immune-mediated cardiovas...",carotid ultrasound,Carotid ultrasound,application text matched high-precision term derived from the 199 s3 Schema 1 fields
43544,Developing and Validating a Web-Based Tool for Automatic Body Composition Analysis with abdominal MRI and DXA scans,Developing a web-based tool to automatically analyze the body composition on MRI/DXA images. A model is trained with the sample MRI/DXA images that have been manually segmented. This research project includes different steps that are independently useful...,DXA images,DXA imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
18274,Developing a diagnostic tool for non-alcoholic fatty liver disease and inferring causal relationships with type 2 diabetes,"...help us to go with interventions and prevent further damages to the liver. Liver biopsy, MRI scans, ultrasounds and liver enzyme tests are often used for the diagnosis of the disease. However, the invasive nature of the liver biopsy, the high costs of the MRI sc...",MRI scans,Mixed s3 imaging/file fields,application text matched high-precision term derived from the 199 s3 Schema 1 fields
11559,Enhancing Neuro Imaging Genetics through Meta Analysis,"The ENIGMA Network brings together researchers in imaging genomics, to understand brain structure, function, and disease, based on brain imaging and genetic data. ENIGMA is an international effort, we seek to identify genetic, age and disease driven variati...",brain imaging,Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
18545,Biobank Brain and Cardiac Mutual Risk Indexing (BBC MRI) study,"The prevalence of both brain and cardiac disease rises with age and there are functional interactions between the two organs in health and disease (the heart-brain axis). However, cardiac and brain co-morbiditi...",cardiac MRI,Cardiac MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
353684,Multimodal Large Language Model for Medical Image Analysis: Applications in Carotid Artery Sonography and Cardiovascular Health,"...ultimodal foundation model that mimics how clinicians analyze medical images, focusing on carotid ultrasound imaging to predict vascular biological age and cardiovascular risk. Cardiovascular disease remains a leading cause of death globally, with early detection cru...",carotid ultrasound,Carotid ultrasound,application text matched high-precision term derived from the 199 s3 Schema 1 fields
58122,Machine Learning Analysis for prediction of Osteoporosis using Multimodal Data,...alth complications. Research studies have linked various genetic factors to osteoporosis. DXA imaging technique is common and useful to measure BMD and diagnose osteoporosis. Researches are going on to process the images effectively to extract features from the D...,DXA images,DXA imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
20666,"Multiparametric Magnetic Resonance Imaging of Obesity in Relation to Cardiovascular, Renal, Cerebral and Metabolic Health & Functioning.","Multiparametric Magnetic Resonance Imaging of Obesity in Relation to Cardiovascular, Renal, Cerebral and Metabolic Health & Functioning.",magnetic resonance imaging,Mixed s3 imaging/file fields,application text matched high-precision term derived from the 199 s3 Schema 1 fields
13310,Impact of genetic and environmental associations on neuropsychiatric disorders and associated phenotypes,"...ntribute to traits that are related to psychiatric disorders such as cognition, behavior, brain imaging and physical health measures. Finally, we aim to characterise the various consequences, such as social and health outcomes, of having a psychiatric disorder or r...",brain imaging,Brain MRI/imaging,"concrete WES/WGS, sequence data, or sequence-product term in observable evidence; application text matched high-precision term derived from the 199 s3 Schema 1 fields"
22207,Causes and consequences of valvular heart disease,...be identified as reported in electronic health records (EHR) and further complemented by cardiac MRI and echocardiography studies that are ongoing. - We then predict the risk of developing individual types of valvular disease. Modelling will take account of potentia...,cardiac MRI,Cardiac MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
615699,Association between Pregnancy and Long-term Changes in Maternal Cardiovascular Imaging Phenotypes: based on Multi-Omics Analysis with UK Biobank Data,"...omes, CBH & APO) affect maternal long-term cardiovascular imaging phenotypes (heart MRI & carotid ultrasound), and to further analyze the roles of multi-omics factors such as genomics, proteomics, metabolomics and exposomics in this case. Objectives: 1. Reveal the ef...",carotid ultrasound,Carotid ultrasound,application text matched high-precision term derived from the 199 s3 Schema 1 fields
871112,Generating synthetic DXA (Dual-energy X-ray Absorptiometry) images through advanced 3D body scans,"...ine of Proposed Research: This research aims to develop a method for generating synthetic DXA (Dual-energy X-ray Absorptiometry) images using advanced 3D optical body scans, offering a safer and more accessible alternative for assessing body composition. DXA is t...",DXA images,DXA imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
22783,"The joint analysis of imaging data and genetic data for early tumor detection, prevention, diagnosis and treatment","...r all imaging modalities. Imaging characteristics are derived after preprocessment of the raw imaging data to discriminate different tumor types. Second, we use different statistical approaches to select oncogenes and tumor suppressor genes. A genetic-imaging int...",raw imaging data,Mixed s3 imaging/file fields,linked current UKB field page has tier token s3; application text matched high-precision term derived from the 199 s3 Schema 1 fields
15175,Further defining the genetic architecture of Alzheimer's disease,...estigating relationships between AD risk genes and environmental factors. We will analyse brain imaging data to explore early detection of AD-associated brain changes and correlate these with gene burden. Results will provide insights into disease-critical environm...,brain imaging,Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
26751,Genetic substrate of valvular heart disease and its arrhythmic complications,"...without arrhythmias. Diagnosis of valvular disease will be based on ICD9/ICD10 coding and cardiac MRI when applicable. Diagnosis of cardiac arrhythmia (atrial fibrillation, ventricular tachycardia, ventricular fibrillation, history of sudden cardiac arrest, and cardi...",cardiac MRI,Cardiac MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
649353,Association between ocular vascular diseases and systemic conditions,"...d OCT-A for macular and choroidal thickness, vascular density, and etc. 2. Systemic data: Carotid ultrasound (intima-media thickness, flow), HbA1c, CRP, lipid profiles, blood pressure and etc. 3. Lifestyle and sociodemographic data: Sleep questionnaires, actigraphy,...",carotid ultrasound,Carotid ultrasound,application text matched high-precision term derived from the 199 s3 Schema 1 fields
1202100,"Multidimensional investigation of musculoskeletal health: From rare phenotypes to systemic multimorbidity with metabolic, cardiovascular, and neurological systems","...min) for orthopedic outcomes. Digital Phenotyping: Develop deep learning models using MRI/DXA images and accelerometer data to predict functional decline. Scientific Rationale: Current research often treats the skeletal system in isolation, overlooking its system...",DXA images,DXA imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
23889,"Volumetric measurements of body composition and their distribution across data-driven categories of health, lifestyle and well-being","Direct measurements of body composition through magnetic resonance imaging (MRI) can provide a much better description of the population than traditional indirect measurements, such as body mass index (BMI) or waist circumfere...",magnetic resonance imaging,Mixed s3 imaging/file fields,application text matched high-precision term derived from the 199 s3 Schema 1 fields
16066,Genetics of brain asymmetry and language-related disorders,Left-right asymmetry is an important feature of the human brain. One prominently asymmetric brain network underlies the uniquely human ability to speak and understand language. A lack of brain asymmetry is associated with variation i...,brain imaging,Brain MRI/imaging,"concrete WES/WGS, sequence data, or sequence-product term in observable evidence; application text matched high-precision term derived from the 199 s3 Schema 1 fields"
30603,Predictive analytics for heart failure: enabling individualization of care and patient education through improved prognostication,"...ility (e.g. genetics, scans). A sub-analysis will be performed on patients with an intake cardiac MRI, this sub-analysis will focus on patients with sub-clinical HF, a high-risk but poorly characterized subgroup.",cardiac MRI,Cardiac MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
1212005,Association of Ultrasound-Derived Phenotypes with Major Chronic Diseases: A Population-Based Cohort Study,"...search objectives. First, characterize distribution patterns of core parameters including carotid intima-media thickness, plaque scores, heel ultrasound velocity and attenuation coefficient, and their correlations with baseline clinical characteristics. Second, evalu...",carotid ultrasound,Carotid ultrasound,application text matched high-precision term derived from the 199 s3 Schema 1 fields
30833,Imaging chronotype: exploring the anatomical correlates of circadian preference.,"...for the prevention and treatment of depression and open up avenues for further research. Magnetic Resonance Imaging data, chronotype, age, gender, handedness, depression status and neuroticism scores will be requested. Hippocampal volume will be derived using freely...",magnetic resonance imaging,Mixed s3 imaging/file fields,application text matched high-precision term derived from the 199 s3 Schema 1 fields
16124,Stratifying Psychosis Using BioBank,"...the associations of psychotic symptoms with cognition (baseline measures and web-based), brain structure, function and connectivity (MRI). We will examine the association of stratified and unstratified psychosis with biological intermediates (mechanistically impor...",brain MRI,Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
30769,Automatic Assessment and Quantification of Cardiovascular MRI exams,...develop machine learning based algorithms for automatic assessment and quantification of cardiac MRI exams in the UK Biobank cohort. Automated image processing is a key enabler in facilitating biomarker discovery in large cohorts such as the one in UK Biobank. Resul...,cardiac MRI,Cardiac MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
1232844,Multimodal Cardiovascular Risk Prediction Using Retinal Imaging and Carotid Intima-Media Thickness,"We will investigate whether retinal fundus photographs can predict carotid intima-media thickness (cIMT), an ultrasound-derived marker of subclinical atherosclerosis and cardiovascular risk. Using UK Biobank data, we will link left/right fundus...",carotid ultrasound,Carotid ultrasound,application text matched high-precision term derived from the 199 s3 Schema 1 fields
31028,A study of decision making using UK Biobank and fMRI studies of economic choices,"...e full cohort of subjects available. In particular we need the full genotype data and the raw imaging data. We are aware that this will require large data storage, so a clarification is needed. In our team the effort is aimed at integrating the analysis of the UK...",raw imaging data,Mixed s3 imaging/file fields,application text matched high-precision term derived from the 199 s3 Schema 1 fields
16256,"Prevalence, causes, risk factors and outcomes of intracranial haemorrhage in the UK Biobank cohort.","...skull. This application will focus on intracerebral haemorrhage (rapid bleeding into the brain substance), the most lethal form of stroke. We will investigate how previous brain scan findings and ""risk factors"" (like high blood pressure) affect the risk of brain h...",brain imaging,Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
34303,Stratification of neurodegenerative disease patients using genetic architecture consisting of genomic and digital health records.,"...e diseases, dementia and associated comorbid conditions including Alzheimer, hypertensive heart disease, and Parkinson will be primarily investigated. Dementia is a broad category of brain disease that causes gradual decrease in the ability of cognition and daily f...",heart MRI,Cardiac MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
1323939,Trajectory-Based Multimodal Risk Assessment of Type 2 Diabetes and Associated Cardiovascular and Neurological Outcomes,"...ng data from the UK Biobank (UKB). Multimodal data will include imaging biomarkers (e.g., carotid ultrasound), electronic health records (EHR), polygenic risk scores (PGS), metabolic markers, and other clinical and lifestyle factors. The proposed framework comprises...",carotid ultrasound,Carotid ultrasound,application text matched high-precision term derived from the 199 s3 Schema 1 fields
32048,Lifespan Changes in Brain and Cognition- Identifying risk and protective factors.,...https://surfer.nmr.mgh.harvard.edu/). We will include all participants who have completed Magnetic Resonance Imaging scans of the brain.,magnetic resonance imaging,Mixed s3 imaging/file fields,application text matched high-precision term derived from the 199 s3 Schema 1 fields
16273,Lifestyle-predictive brain-body interactions,"...that strongly influence our lifestyles are mirrored in the individual architecture of the brain, we propose instead to link lifestyle-relevant features of the brain to physiological markers predictive of disease, assisted by ?artificial intelligence?-based modellin...",brain imaging,Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
41664,Machine learning from complex and genetic data,"...its modern form, two brothers recognized a new pattern in ECG that went along with sudden cardiac death. The pattern that they found is a very memorable one, but there may be numerous less memorable patterns that we might be able to use to predict disease. Newer test...",cardiac MRI,Cardiac MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
35577,"Pathological Brain Ageing in the General Population - Effects from Trauma, Depression and Genetics","We want to use magnetic resonance imaging to establish new diagnostic methods for the detection of accelerated ageing and Alzheimer's disease. Moreover, we will study both genetic and environme...",magnetic resonance imaging,Mixed s3 imaging/file fields,application text matched high-precision term derived from the 199 s3 Schema 1 fields
16406,Causes of individual differences in cognitive and mental health,"...l health (incl. depression, neuroticism, personality, smoking, and alcohol drinking), and brain MRI. Our research will contribute to quantifying and understanding how several risk factors (e.g. lifestyle, environment, genes), both separately and in combination, inf...",brain MRI,Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
43129,Machine learning to predict outcome from cardiac imaging. PhD thesis.,Machine learning to predict outcome from cardiac imaging. PhD thesis.,cardiac imaging,Cardiac MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
