"date_or_period","event","official_source","source_date","process_stage_affected","projects_affected","expected_timing_implication","relevance_to_public_start_date","evidence_strength","its_use","directly_documented_fact","interpretation_or_inference"
"6 June 2024 to 8 April 2025","RAP account creation requires approved AMS account, collaborator listing, and AMS-to-RAP linking","https://community.ukbiobank.ac.uk/hc/en-gb/articles/19357348088733-How-to-create-a-UKB-RAP-account","Created 06 June 2024; updated 08 April 2025","RAP account creation and AMS-RAP linking","Researchers on approved RAP-enabled applications","Adds user/account linking steps after AMS approval","Relevant because RAP access is only possible after project status changes and account linkage","HIGH","CONTEXT_ONLY","UKB says RAP registration has two steps and that users must have an approved AMS account and be listed on an approved RAP application.","The public Start date is closer to operational readiness than to research idea submission."
"4 July 2024","Dispensing data to a RAP project usually takes up to 24 hours after training and RAP use","https://community.ukbiobank.ac.uk/hc/en-gb/articles/19967877239069-How-long-does-it-take-to-be-up-and-running-with-the-data","Updated 04 July 2024","Data dispensing and workspace readiness","Projects already using UKB-RAP after mandatory training","Data dispensing is a short final step once upstream prerequisites are met","Start date is unlikely to mean first data dispense alone without upstream AMS status completion","MEDIUM","CONTEXT_ONLY","UKB says that once training is complete and the researcher is using UKB-RAP, data usually takes up to 24 hours to dispense to the project workspace.","Recorded starts may occur before or around first data dispense, but public evidence does not pin the exact field definition."
"9 October to 21 October 2024","Mandatory researcher training courses released and/or made available","https://community.ukbiobank.ac.uk/hc/en-gb/community/posts/22159642847517-Where-are-2-of-the-mandatory-courses-required-for-UKB-RAP-access","Post 09 October 2024; official comment edited 16 October 2024","Training/onboarding","Researchers seeking UKB-RAP access, including already approved projects waiting for training","Could delay operational access until training materials and tests are available","Provides support for transition/onboarding context in October 2024, but not an official October restart","MEDIUM","SUPPORTED_TRANSITION_WINDOW","Official UKB Community comment said on-demand training courses had been released and were available; user posts show some courses were not yet findable in early/mid October.","October 2024 may include training availability changes, but the observed start rebound is not documented as an institutional restart."
"21 October 2024 to 31 March 2025","Mandatory UKB-RAP training requirement and existing-user completion deadline","https://community.ukbiobank.ac.uk/hc/en-gb/community/posts/22429926527773-Researcher-training-now-available","Edited 14 November 2024","Training/onboarding and access compliance","Existing UKB-RAP users; new RAP users seeking access","Training completion can gate access and can pause or prevent project operation until fulfilled","Supports a transition/onboarding window extending beyond July 2024","HIGH","SUPPORTED_TRANSITION_WINDOW","UKB said researchers must complete three mandatory training courses to access data on UKB-RAP, with existing RAP users required to complete by 31 March 2025.","The end of March 2025 is a defensible training compliance date, but not a direct project-entry breakpoint."
"26 January 2026 documentation of ongoing criteria","Project not enabled for RAP unless training, MTA, payment, and AMS Underway status are satisfied","https://community.ukbiobank.ac.uk/hc/en-gb/articles/22784123882909-Why-does-it-say-that-my-project-is-not-enabled-for-UKB-RAP","Updated 26 January 2026","Training, MTA, payment, AMS Underway status, RAP enablement","Approved applications seeking RAP access","Approved-but-not-underway projects are not enabled; prerequisites can delay recorded starts","Strongly implies Start date tracks operational/underway status rather than application approval","HIGH","CONTEXT_ONLY","UKB says an application marked Approved but not Underway is not enabled for RAP access and lists training, executed MTA, and payment criteria.","For empirical labeling, use recorded project starts or projects becoming operational; avoid new applications."
"April 2025 onward","After existing-user mandatory training deadline","https://community.ukbiobank.ac.uk/hc/en-gb/community/posts/22429926527773-Researcher-training-now-available","Deadline stated in post edited 14 November 2024","Training compliance and RAP-default operations","Existing RAP users and projects needing compliant access","Potential normalization of access after training deadline, but not a new access-policy breakpoint for project starts","Possible secondary context after the transition/onboarding phase","MEDIUM","SUPPORTED_TRANSITION_WINDOW","Existing UKB-RAP users had a 31 March 2025 deadline for training completion.","April 2025 can mark post-deadline context, not a primary break unless the paper motivates a secondary period."
"March 2025","First major listed post-transition data release in the available release chronology","https://community.ukbiobank.ac.uk/hc/en-gb/articles/26655145866269-Past-data-releases","Updated 21 January 2026; event dated March 2025","Data release schedule","Projects needing newly released datasets","May affect demand for access and new project starts after transition","Context, not a project-entry administrative breakpoint","MEDIUM","CONTEXT_ONLY","Past-release chronology lists a March 2025 data release with questionnaire, imaging, genetics, healthcare, environmental, and other updates.","Data-release timing can shape demand but should not define the July 2024 project-entry ITS break."
"3 July 2025 / 8 October 2025","Formalized UKB-RAP-by-default exemption policy and application process","https://community.ukbiobank.ac.uk/hc/en-gb/articles/28584138116765-UK-Biobank-Exemption-from-the-UKB-RAP-by-default-Policy","Updated 03 July 2025; related exemption application article updated 08 October 2025","Download exemption review, Access Committee, compliance","Projects requesting temporary non-RAP data access","Exemption review may add review time for nonstandard access requests","Reinforces RAP-default regime after 2024 but is not a 2024 project-entry breakpoint","MEDIUM","CONTEXT_ONLY","UKB states exemption requests are reviewed by Access and Scientific Teams with Access Committee decision and lists permitted rationales.","Useful for institutional background and robustness discussions only."
"January 2025","Insurance company direct access policy changed","https://www.ukbiobank.ac.uk/about-us/how-we-work/access-to-uk-biobank-data/","Page last updated 23 April 2026; page states policy up to January 2025 and no longer accepting such applications","Eligibility/access policy","Insurance-company applicants only","May affect a narrow applicant subset","Limited relevance to aggregate public Start date","MEDIUM","NOT_SUITABLE_FOR_ITS","UKB says it no longer approves applications from insurance companies for direct access to de-identified UKB data.","Too narrow and applicant-type-specific for primary project-entry ITS."
"July-September 2024","Observed low recorded project starts in project-start data","analyses/interrupted_time_series/data/its_project_starts_monthly.csv","Generated project data in this repository","Observed outcome series only","Recorded project starts in public metadata","Low observed counts may describe an interruption, but the window is not independently documented as a formal pause","Descriptive anomaly only unless linked to external source","LOW","NOT_SUITABLE_FOR_ITS","Repository data record July 2024 = 3, August 2024 = 0, September 2024 = 1 starts.","Do not create a July-September dummy in the primary ITS merely because these observed values are low."
"October 2024","Observed rebound in recorded project starts","analyses/interrupted_time_series/data/its_project_starts_monthly.csv","Generated project data in this repository","Observed outcome series only","Recorded project starts in public metadata","High observed count may reflect backlog, batching, or demand, but this is not officially documented in the sources reviewed","Descriptive anomaly only","LOW","NOT_SUITABLE_FOR_ITS","Repository data record October 2024 = 208 starts.","October 2024 is an observed rebound in recorded project starts, not a documented institutional restart."
