classification,app_id,project_start_date,confidence,already_rap_modalities,legacy_route_modalities,ambiguous_modality_signals,schema27_title,source_text_evidence,website_url
NEWLY_RAP_BOUND,761,2012-09-19,HIGH,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,GENERIC_GENETIC_LANGUAGE,Risk of type 2 Diabetes and development of disease,"QUESTIONNAIRES_ASSESSMENT [schema27_notes]: ...have developed the condition. We will investigate common risk factors (including anthropometric, early life, lifestyle, family history and dietary factors) to identify individuals at the extremes of the normal distribution. We w... || PHYSICAL_MEASURES [schema27_notes]: ...e at low risk of disease who have developed the condition. We will investigate common risk factors (including anthropometric, early life, lifestyle, family history and dietary factors) to identify individuals at the extremes of the no... || GENERIC_GENETIC_LANGUAGE [schema27_notes]: ...t the extremes of the normal distribution. We will request funding to extend this work, investigating whether genetic variation has contributed to an individual?s presence within these ?paradoxical? extremes. This specific prop...",https://www.ukbiobank.ac.uk/projects/risk-of-type-2-diabetes-and-development-of-disease/
NEWLY_RAP_BOUND,13489,2012-09-24,HIGH,,ENVIRONMENT_GEOSPATIAL|QUESTIONNAIRES_ASSESSMENT,,"Relation between hearing and demographic, behavioural and biological markers in middle aged people","QUESTIONNAIRES_ASSESSMENT [schema27_notes]: ...data predicting that 21% of the UK adult population aged 40-69 years will have a hearing loss. The UK Biobank questionnaire contains information that allows an assessment of hearing, cognitive function and psychological state in a la... || ENVIRONMENT_GEOSPATIAL [schema27_notes]: ...d and objective measures of hearing disability and their associations with long-term occupational and leisure noise exposure; 3. age and gender differences; 4. the prevalence of tinnitus severity and its association with hear...",https://www.ukbiobank.ac.uk/projects/relation-between-hearing-and-demographic-behavioural-and-biological-markers-in-middle-aged-people/
NEWLY_RAP_BOUND,774,2012-11-05,HIGH,,BIOMARKERS_ASSAYS|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,Cross-sectional study to investigate ethnic differences in cardiovascular risk and mental health,"QUESTIONNAIRES_ASSESSMENT [schema27_notes]: ...and environmental factors that are associated with the presence of disease. In this study we will access only questionnaire and measurement data and compare ethnic sub-groups in terms of these data. At a later date, once available, w... || BIOMARKERS_ASSAYS [schema27_notes]: ...of these data. At a later date, once available, we will be able to compare these sub-groups in terms of their biochemistry assays and follow-up events. Therefore, this initial study will focus on comparisons of risk and only later w... || PHYSICAL_MEASURES [schema27_notes]: ...health. For example Pakistani people have a high risk of heart disease and chinese people a high risk of high blood pressure and stroke. Understanding these differences and the reasons for them is of assistance in ensuring the appropr...",https://www.ukbiobank.ac.uk/projects/cross-sectional-study-to-investigate-ethnic-differences-in-cardiovascular-risk-and-mental-health/
NEWLY_RAP_BOUND,788,2013-02-01,HIGH,,ENVIRONMENT_GEOSPATIAL|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,GENERIC_GENETIC_LANGUAGE,Heritability of disease frequency,"QUESTIONNAIRES_ASSESSMENT [schema27_notes]: ...amily history to estimate the heritability of a broad range of medical conditions. We will use information on smoking, anthropometric and reproductive factors to understand to what degree these risk factors are determined by ge... || PHYSICAL_MEASURES [schema27_notes]: ...tory to estimate the heritability of a broad range of medical conditions. We will use information on smoking, anthropometric and reproductive factors to understand to what degree these risk factors are determined by genetics; and to w... || ENVIRONMENT_GEOSPATIAL [schema27_notes]: Genes and environmental exposures determine susceptibility to common diseases such as diabetes or cancer. The relative contribution of genes t... || GENERIC_GENETIC_LANGUAGE [schema27_notes]: ...ng, anthropometric and reproductive factors to understand to what degree these risk factors are determined by genetics; and to what degree genes influencing risky behaviours (e.g. smoking) and diseases are shared. In addition, w...",https://www.ukbiobank.ac.uk/projects/heritability-of-disease-frequency/
NEWLY_RAP_BOUND,2112,2013-03-04,HIGH,,IMAGING|QUESTIONNAIRES_ASSESSMENT,,Automated macular thickness measurements and association with potential risk factors and systemic disease,IMAGING [schema27_notes]: Optical coherence tomography imaging (OCT) rapidly produces 3 dimensional images of the macula (the sensitive part of the retina used for central... || QUESTIONNAIRES_ASSESSMENT [schema27_notes]: ...ated approaches to determine retinal sublayer thicknesses. We are requesting access to OCT images and data on lifestyle and medical history. This will allow us to report the distribution of macular thickness across the sampled Bi...,https://www.ukbiobank.ac.uk/projects/automated-macular-thickness-measurements-and-association-with-potential-risk-factors-and-systemic-disease/
NEWLY_RAP_BOUND,338,2013-04-15,HIGH,,BIOMARKERS_ASSAYS|IMAGING|QUESTIONNAIRES_ASSESSMENT,,Using the Vascular Assessment and Measurement Platform for Images of the Retina (VAMPIRE) to derive retinal outcomes,IMAGING [schema27_title]: Using the Vascular Assessment and Measurement Platform for Images of the Retina (VAMPIRE) to derive retinal outcomes || QUESTIONNAIRES_ASSESSMENT [schema27_notes]: ...ging might provide an additional means to stratify risk and help identify people who would benefit from early lifestyle changes and preventative therapies. By applying computational analysis to fundus images it is possible identi... || BIOMARKERS_ASSAYS [schema27_notes]: ...tional analysis to fundus images it is possible identify subtle vessel abnormalities which in turn may act as biomarkers of disease. We propose to assess the feasibility of using trained individuals to analyse fundus images via co...,https://www.ukbiobank.ac.uk/projects/using-the-vascular-assessment-and-measurement-platform-for-images-of-the-retina-vampire-to-derive-retinal-outcomes/
MIXED,648,2012-11-01,HIGH,WES,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,GENERIC_GENETIC_LANGUAGE|PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,Common and rare genetic variants in respiratory health: the UK Biobank Lung Exome Variant Evaluation (UK BiLEVE) consortium,"WES [schema27_title]: Common and rare genetic variants in respiratory health: the UK Biobank Lung Exome Variant Evaluation (UK BiLEVE) consortium || QUESTIONNAIRES_ASSESSMENT [schema27_notes]: ...g function status at baseline. This project therefore requires the use of data (spirometry, smoking and other lifestyle factors) and DNA samples. || PHYSICAL_MEASURES [schema27_notes]: Lung function is an important indicator of respiratory health and mortality. Measures of lung function show irreversible ai... || GENERIC_GENETIC_LANGUAGE [schema27_title]: Common and rare genetic variants in respiratory health: the UK Biobank Lung Exome Variant Evaluation (UK BiLEVE) consortium",https://www.ukbiobank.ac.uk/projects/common-and-rare-genetic-variants-in-respiratory-health-the-uk-biobank-lung-exome-variant-evaluation-uk-bileve-consortium/
MIXED,9616,2016-01-01,HIGH,WGS,GENOTYPING_IMPUTATION|QUESTIONNAIRES_ASSESSMENT,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE|PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,The Genetics of Extreme Blood Indices by Whole Genome Sequencing,"WGS [schema27_title]: The Genetics of Extreme Blood Indices by Whole Genome Sequencing || GENOTYPING_IMPUTATION [schema27_notes]: ...the stem cell is fundamental to human biology. Our genomics studies have thus far identified over 140 genetic loci that influence blood cell formation. Two thirds of these were novel associations. We propose to initiate whol... || QUESTIONNAIRES_ASSESSMENT [schema27_notes]: ...volunteers with extreme platelet and red cell indices. We will integrate environmental covariates, including lifestyle information, with blood cell measurements to identify volunteers who, with high likelihood, have outlier plat... || GENERIC_GENETIC_LANGUAGE [schema27_title]: The Genetics of Extreme Blood Indices by Whole Genome Sequencing",https://www.ukbiobank.ac.uk/projects/the-genetics-of-extreme-blood-indices-by-whole-genome-sequencing/
MIXED,4477,2016-06-01,HIGH,WES,GENOTYPING_IMPUTATION,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE|PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,Identification and characterisation of naturally-occurring human gene knockouts.,"WES [schema27_notes]: ...zygosity) using an algorithm we have developed and validated. Step 2: we will request DNA samples and perform whole exome sequencing on an expected 2000 - 5000 individuals with substantial autozygosity (F>0.05 approx). We expect to sequenc... || GENOTYPING_IMPUTATION [schema27_notes]: We will analyse genotypes from the full UK Biobank cohort to identify people with closely related parents. We expect to identify betw... || GENERIC_GENETIC_LANGUAGE [schema27_title]: Identification and characterisation of naturally-occurring human gene knockouts. || GENERIC_SEQUENCE_LANGUAGE [schema27_notes]: ...genome-wide genotyped samples will be undertaken by ourselves using UK Biobank generated data. Step 2: exome sequencing is a routine lab technique, and will be performed at the Wellcome Trust Sanger Institute (WTSI) using standar...",https://www.ukbiobank.ac.uk/projects/identification-and-characterisation-of-naturally-occurring-human-gene-knockouts/
MIXED,26041,2017-01-03,HIGH,WES|WGS,BIOMARKERS_ASSAYS|GENOTYPING_IMPUTATION,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE|PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,"Large-Scale Sequencing in the UK Biobank to Facilitate Gene Discovery, Genome Sciences, and Precision Medicine","WGS [schema27_notes]: ...the Regeneron Genetics Center (RGC), (iii) whole exome sequencing of DNA samples by the RGC, (iv) transfer of genomic sequence data to GSK and UK Biobank by RGC and (v) analyses of the datasets in accordance with the goals, aims, and study d... || WES [schema27_notes]: ...ts (RGC and GSK), (ii) transfer of biospecimens from UK Biobank to the Regeneron Genetics Center (RGC), (iii) whole exome sequencing of DNA samples by the RGC, (iv) transfer of genomic sequence data to GSK and UK Biobank by RGC and (v) ana... || GENOTYPING_IMPUTATION [schema27_notes]: ...h (see Annex A) The scope of the research program includes, (i) transfer of de-identified phenotypic data and genotype data to joint Applicants (RGC and GSK), (ii) transfer of biospecimens from UK Biobank to the Regeneron Genet... || BIOMARKERS_ASSAYS [schema27_notes]: ...identification of new drug targets, the validation of existing targets and therapeutics, and the discovery of biomarkers that may correlate with treatment response or aid in stratifying patients and diseases at a genetic or molecu...",https://www.ukbiobank.ac.uk/projects/large-scale-sequencing-in-the-uk-biobank-to-facilitate-gene-discovery-genome-sciences-and-precision-medicine/
MIXED,98512,2025-08-28,MEDIUM,OMOP_RAP_ONLY,LINKED_HEALTH_RECORDS,,"Discovering Polytopes in High Dimensional, Heterogeneous Datasets using Bayesian Archetypal Analysis","OMOP_RAP_ONLY [schema27_notes]: ...insurance claims data provide vast amounts of high granularity heterogeneous data. An international standard (OMOP) has been developed for health data and accelerating evidence generation from RWD. The EU has recently adopte... || LINKED_HEALTH_RECORDS [schema27_notes]: Real World Data (RWD), such as electronic medical records, national health registries, and insurance claims data provide vast amounts of high granularity heterogeneous...",https://www.ukbiobank.ac.uk/projects/discovering-polytopes-in-high-dimensional-heterogeneous-datasets-using-bayesian-archetypal-analysis/
MIXED,23359,2016-11-01,HIGH,WGS,GENOTYPING_IMPUTATION,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE|PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,Osteoarthritis,"WGS [schema27_notes]: ...h sample than otherwise possible with the small amount of DNA, thus making best use of this limited resource. Whole genome data will be attained for the study subjects and genotype frequencies will be compared between osteoarthritis pati... || GENOTYPING_IMPUTATION [schema27_notes]: ...he study subjects and genotype frequencies will be compared between osteoarthritis patients and controls in a genome wide association study. Markers that associate in Iceland will be specifically selected from the results to investigate replic... || GENERIC_GENETIC_LANGUAGE [schema27_notes]: ...ity and is responsible for an increasing global health burden. Osteoarthritis is highly heritable and several genetic variants have been found to associate with the disease. Identifying additional variants will contribute to th... || GENERIC_SEQUENCE_LANGUAGE [schema27_notes]: ...r the UK osteoarthritis patient collection of arcOGEN funded by Arthritis Research UK. Identifying additional sequence variants in the genome that associate with osteoarthritis will contribute to increased understanding of the disease an...",https://www.ukbiobank.ac.uk/projects/osteoarthritis/
MIXED,24299,2017-01-01,HIGH,WGS,GENOTYPING_IMPUTATION|LINKED_HEALTH_RECORDS|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE|PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,COPD follow up ? access to genotype and phenotype information and DNA samples,"WGS [schema27_notes]: ...D, requiring follow up in a large dataset like the UKBiLEVE cohort, in particular rare variants identified by whole genome sequencing of the Icelanders. Our aim is to use existing genotypes or where necessary to undertake further genotyping... || GENOTYPING_IMPUTATION [schema27_title]: COPD follow up ? access to genotype and phenotype information and DNA samples || LINKED_HEALTH_RECORDS [schema27_notes]: ...dentify UKBiLEVE subjects with COPD, emphysema, chronic bronchitis or asthma, information on self-reported or HES diagnosis of those diseases would be needed. Genotype information for 48931 individuals from UKBiLEVE and DNA... || QUESTIONNAIRES_ASSESSMENT [schema27_notes]: ...UK Biobank. To identify UKBiLEVE subjects with COPD, emphysema, chronic bronchitis or asthma, information on self-reported or HES diagnosis of those diseases would be needed. Genotype information for 48931 individuals from UKBiLEV...",https://www.ukbiobank.ac.uk/projects/copd-follow-up-access-to-genotype-and-phenotype-information-and-dna-samples/
MIXED,40436,2018-07-24,HIGH,WES,GENOTYPING_IMPUTATION|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE,"Prediction models of health and wellness traits based on genetics, anthropometric, and clinical data","WES [schema27_notes]: ...person to improve their life through DNA. Helix sequences our users' Exome+, a combination of clinical-grade exome sequencing plus sequences that overlap SNPs traditionally found in genotyping arrays. Helix enables every person to a... || GENOTYPING_IMPUTATION [schema27_notes]: ...tion and diet, familial hypercholesterolemia, carrier screening, among others. Genome-wide association study (GWAS) is a standard method for identifying genetic risk factors for common traits and complex disease that hastens... || QUESTIONNAIRES_ASSESSMENT [schema27_notes]: ...es, are a powerful tool to stratify disease-risk populations for common traits and disease, including height, sleep, coronary-artery disease, and obesity. However, the catalog of these scores is limited and must be expanded a... || PHYSICAL_MEASURES [schema27_title]: Prediction models of health and wellness traits based on genetics, anthropometric, and clinical data",https://www.ukbiobank.ac.uk/projects/prediction-models-of-health-and-wellness-traits-based-on-genetics-anthropometric-and-clinical-data/
UNCLEAR,132,2012-08-31,LOW,,,,Prevalence of stroke and identification of associated risk factors,Prevalence of stroke and identification of associated risk factors Stroke is the second biggest cause of death worldwide. We aim to identify the number of people who had already suffered from a stroke when they were invited to UK Biobank and to classify common risk factors for stroke. We will then compare the findings from UK Biobank with that from other...,https://www.ukbiobank.ac.uk/projects/prevalence-of-stroke-and-identification-of-associated-risk-factors/
UNCLEAR,1383,2012-12-01,LOW,,,,Environmental risk factors of non-cancer illness,Environmental risk factors of non-cancer illness Research at the European Centre for Environment and Human Health (ECEHH) focuses on the complex interconnectedness between human health and the environment. The World Health Organisation estimates that 24% of the global burden of disease and 23% of all deaths are attributable to environmental factors. The...,https://www.ukbiobank.ac.uk/projects/environmental-risk-factors-of-non-cancer-illness/
UNCLEAR,4047,2014-06-03,LOW,,,,Quantification of Variation in Blood,"Quantification of Variation in Blood The aim of this project is to investigate how donor characteristics influence the properties of their blood. Hematopoietic progenitor cells, stem cells derived from blood/bone marrow, are used therapeutically to treat blood cancer by rescuing or replacing the stem cells of the patient. They are isolated using...",https://www.ukbiobank.ac.uk/projects/quantification-of-variation-in-blood/
UNCLEAR,9905,2014-12-01,LOW,,,GENERIC_GENETIC_LANGUAGE,Using genetics to elucidate the relationship between socioeconomic/behavioural traits and disease,GENERIC_GENETIC_LANGUAGE [schema27_title]: Using genetics to elucidate the relationship between socioeconomic/behavioural traits and disease,https://www.ukbiobank.ac.uk/projects/using-genetics-to-elucidate-the-relationship-between-socioeconomic-behavioural-traits-and-disease/
UNCLEAR,16971,2016-04-18,LOW,,,GENERIC_GENETIC_LANGUAGE|PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,Trinean DNA Contamination detection project,GENERIC_GENETIC_LANGUAGE [schema27_title]: Trinean DNA Contamination detection project || PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE [schema27_notes]: ...NA samples Data generated by UK Biobank will be collected. Data consists of spectrophotometric results of the DNA samples before entering a genetic test and a performance score of that particular DNA sample during the genetic test....,https://www.ukbiobank.ac.uk/projects/trinean-dna-contamination-detection-project/
UNCLEAR,41018,2018-10-16,LOW,,,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE,Interpreting Gene Expression in the Gut-Brain Axis Through the Lens of Human Genetics,"GENERIC_GENETIC_LANGUAGE [schema27_title]: Interpreting Gene Expression in the Gut-Brain Axis Through the Lens of Human Genetics || GENERIC_SEQUENCE_LANGUAGE [schema27_notes]: ...regulate communication between the gut and the brain. Applying tools from modern neuroscience and the latest sequencing technologies, Kallyope is decoding the language in which the gut and brain communicate. By combining this und...",https://www.ukbiobank.ac.uk/projects/interpreting-gene-expression-in-the-gut-brain-axis-through-the-lens-of-human-genetics/
UNCLEAR,57617,2020-04-21,LOW,,,PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,Understanding the social outcomes of survivors of critical illness: a cross sectional population study of UK Biobank participants,PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE [schema27_notes]: ...llenges this patient group have. We do not intend to follow-up any Biobank patients and we are not requesting blood samples. Public Health Impact 60% of patients discharged from critical care will be readmitted to hospital as an emer...,https://www.ukbiobank.ac.uk/projects/understanding-the-social-outcomes-of-survivors-of-critical-illness-a-cross-sectional-population-study-of-uk-biobank-participants/
UNCLEAR,156992,2024-11-27,LOW,,,GENERIC_GENETIC_LANGUAGE|GENERIC_SEQUENCE_LANGUAGE|PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE,Discovery of new genetic rare and common variants for Prostate Cancer in the UK Biobank and the United Kingdom Genetic Prostate Cancer Study,"GENERIC_GENETIC_LANGUAGE [schema27_title]: Discovery of new genetic rare and common variants for Prostate Cancer in the UK Biobank and the United Kingdom Genetic Prostate Cancer... || GENERIC_SEQUENCE_LANGUAGE [schema27_notes]: ...genetic elements which predispose to the development of prostate cancer (PrCa). We have a large collection of sequencing data from the UK, almost 20,000 DNA samples from people affected by prostate cancer. The data from UK BioBank... || PHYSICAL_SAMPLE_OR_EXTERNAL_ASSAY_LANGUAGE [schema27_notes]: ...velopment of prostate cancer (PrCa). We have a large collection of sequencing data from the UK, almost 20,000 DNA samples from people affected by prostate cancer. The data from UK BioBank will allow us to compare the frequency of v...",https://www.ukbiobank.ac.uk/projects/discovery-of-new-genetic-rare-and-common-variants-for-prostate-cancer-in-the-uk-biobank-and-the-united-kingdom-genetic-prostate-cancer-study/
