application_id,application_title,project_start_date,project_start_month,project_start_year,post_july2024,linkage_confidence,linked_lineage_count,linked_repo_count,linked_notice_count,evidence_grades
48388,Precision Retinal Biomarkers for Cognitive Impairment,2019-05-09,2019-05,2019,0,strict_21; main_27; archived_broad_48; final_expanded,2,2,1,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION
49777,Identification of genetic and lifestyle risk factors of unhealthy brain ageing to direct mechanistic studies using post-mortem brain tissue,2019-09-30,2019-09,2019,0,archived_broad_48; final_expanded,1,0,0,
51064,"Understanding the relationship between genomics, eye imaging, and neurodegeneration",2020-03-09,2020-03,2020,0,archived_broad_48; final_expanded,2,2,1,B
51157,Stratification and modelling of competing risks in cardiovascular disease events based on multi-level patient characteristics and genetics,2019-11-04,2019-11,2019,0,strict_21; main_27; archived_broad_48; final_expanded,1,0,0,
52293,"Large-scale whole genome sequencing of the UK Biobank cohort to generate and evaluate therapeutic hypotheses regarding targets, biomarkers and pathways implicated in disease",2020-02-03,2020-02,2020,0,strict_21; main_27; archived_broad_48; final_expanded,1,0,0,
52887,Leveraging medical images and deep learning to characterize biological age,2019-09-13,2019-09,2019,0,strict_21; main_27; archived_broad_48; final_expanded,1,2,1,C
55288,"Early life, adulthood, and genomic risk factors for early-onset cancers",2019-11-29,2019-11,2019,0,main_27; archived_broad_48; final_expanded,1,0,0,
55955,Advancing personalised medicine for psychiatric diseases through integrative GPCR pharmacogenomics,2020-06-24,2020-06,2020,0,strict_21; main_27; archived_broad_48; final_expanded,2,2,1,B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION
56757,Developing chronic disease models to inform health policy and guide treatment decisions,2020-03-06,2020-03,2020,0,archived_broad_48; final_expanded,4,4,1,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION
57232,Estimating the overall impact of genetic variation on morbidity and mortality and assessing differential risk conditional on environmental and genetic factors.,2020-04-30,2020-04,2020,0,main_27; archived_broad_48; final_expanded,1,0,0,
59070,Statistical machine learning of wearable sensor data to predict disease outcomes,2020-04-21,2020-04,2020,0,archived_broad_48; final_expanded,1,0,0,
61054,Social and Environmental Adversity in Relation to All-Cause Mortality,2020-05-19,2020-05,2020,0,strict_21; main_27; archived_broad_48; final_expanded,1,0,0,
61666,Sexually antagonistic selection in humans,2020-08-17,2020-08,2020,0,strict_21; main_27; archived_broad_48; final_expanded,1,1,1,B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY
61785,Physiological and Bioinformatics Analyses of Genetic Variants in the Glucagon Receptor,2021-02-23,2021-02,2021,0,archived_broad_48; final_expanded,1,0,0,
62254,Optimisation of time use for health and wellbeing,2020-11-25,2020-11,2020,0,archived_broad_48; final_expanded,1,0,0,
64823,A Genomic Data Science Framework for the 1000 Arab genome project,2021-03-01,2021-03,2021,0,archived_broad_48; final_expanded,1,0,0,
65805,Genetic factors on Type 2 diabetes and hypertension,2020-11-06,2020-11,2020,0,main_27; archived_broad_48; final_expanded,1,0,0,
66995,"Prediction of haplotypes, genotypes, parental-of-origin and applications in biobanks.",2021-03-01,2021-03,2021,0,strict_21; main_27; archived_broad_48; final_expanded,10,10,1,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION
69610,Genetic stratification of immunosuppressive drugs on neurodegenerative disorders incidence,2021-05-04,2021-05,2021,0,strict_21; main_27; archived_broad_48; final_expanded,1,0,0,
72911,Stratification of complex phenotypes focusing on Inflammatory Bowel Disease and co-morbidities: trialling novel methods,2021-06-22,2021-06,2021,0,final_expanded,1,1,1,C; repo-publication-UKB application chain
74395,Interpretion of health data with artificial intelligence for study of cardiovascular risk factors and their relation to diseases,2021-06-16,2021-06,2021,0,archived_broad_48; final_expanded,1,0,0,
79957,Deep learning based causal inference methods for variant interpretation,2022-03-10,2022-03,2022,0,archived_broad_48; final_expanded,1,0,0,
84103,Genomic approaches to relating cardiovascular structure and function to heart failure for the purposes of drug discovery.,2022-09-20,2022-09,2022,0,strict_21; main_27; archived_broad_48; final_expanded,1,1,2,A1_DIRECT_APP_ID
84709,Risk and prognosis factors of cardiovascular disease on different genetic background,2022-02-22,2022-02,2022,0,final_expanded,1,1,2,C; repo-publication-UKB application chain
87802,Assessment of frailty and biological age using multi-modal deep learning,2022-07-13,2022-07,2022,0,strict_21; main_27; archived_broad_48; final_expanded,2,2,1,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION
88159,"Fine-mapping, genetic correlation and genetic risk prediction for complex traits in different populations",2022-08-25,2022-08,2022,0,strict_21; main_27; archived_broad_48; final_expanded,1,1,1,A1_DIRECT_APP_ID
88878,The cardiovascular digital twin of the adult population: defining the population ranges.,2022-08-25,2022-08,2022,0,archived_broad_48; final_expanded,1,0,0,
89197,Effects of copy number variants on the morphological structure of the brain across several neurodevelopmental disorders.,2023-06-29,2023-06,2023,0,final_expanded,1,1,1,C; organization/project/topic consistency plus public UKB project evidence
92005,"Integrative analysis of genomic, molecular, cellular, and biochemical measures to inform cancer etiology",2022-09-21,2022-09,2022,0,main_27; archived_broad_48; final_expanded,1,0,0,
103356,Understanding the role of rare and common genetic variation in human phenotypes,2023-09-07,2023-09,2023,0,strict_21; main_27; archived_broad_48; final_expanded,1,1,1,A1_DIRECT_APP_ID
177030,Impacts of rapid environmental/societal changes on the genetic architecture of and selection on human traits,2024-03-26,2024-03,2024,0,strict_21; main_27; archived_broad_48; final_expanded,1,1,1,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN
822932,Inherent and non-inherent factors for chronic diseases and multimorbidity,2025-12-01,2025-12,2025,1,strict_21; main_27; archived_broad_48; final_expanded,3,3,1,A1_DIRECT_APP_ID; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION
867484,Identifying predictors for persistent pain after joint replacement in osteoarthritis patients by integrative analysis of multimodal data,2025-08-05,2025-08,2025,1,archived_broad_48; final_expanded,1,0,0,
