application_id,application_title,project_start_date,application_pi,application_institution,doi,pmid,publication_title,curated_set,dmca_strict_21,dmca_main_27,dmca_broad_48,final_expanded_sample,baseline_or_new,manual_confirmation_status,lineage_id_available,lineage_ids,linked_repository_family_ids,linked_repo_urls,repo_count,notice_ids,notice_count,first_dmca_notice_date,linked_targeted_row_count,evidence_classes,match_grades,curation_source,provenance,count_note,reviewer_explanation
27837,Statistical Methods for Large Scale Genetic Studies,2017-08-14,Professor Chiara Sabatti,Stanford University,,,,MAIN_EXTRA_6,0,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
28784,A statistical framework for personalized nutrition recommendations based on genetic and anthropometric data.,2017-07-01,Professor Eran Segal,Weizmann Institute of Science,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_farida-ali_t2dm_ukb_predictions; lineage_yochaiedlitz_t2dm_ukb_predictions,family_t2dm-ukb-predictions,https://github.com/Farida-Ali/T2DM_UKB_predictions; https://github.com/yochaiedlitz/T2DM_UKB_predictions,2,2025-10-14-uk-biobank,1,2025-10-14,2,B2_PROJECT_FAMILY_NAME_PROPAGATION; A1_DIRECT_APP_ID,confirmed; probable,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,Public metadata seed records strong but non-deterministic repository-publication-application evidence.; Public metadata seed records a unique repository-publication-application evidence chain.; available_notice_lineage_evidence
30418,Biomarker profiling by NMR metabolomics for the study of chronic disease risk and underlying risk factors,2018-08-06,Dr Peter Wurtz,Nightingale Health Ltd,,,,MAIN_EXTRA_6,0,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
31063,Methodological extensions to estimate genetic heritability and shared risk factors for phenotypes of the UK Biobank,2017-10-01,Dr Claire Churchhouse,Broad Institute,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
33923,Genetic risk prediction and variance in diverse populations,2018-04-06,Professor Iain Mathieson,University of Pennsylvania,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
40161,Application of deep learning for the characterisation of motion patterns in the heart,2018-09-05,Professor Vicente Grau,University of Oxford,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
45761,Genetics of cancer risk and therapy response,2019-05-07,Dr Moritz Gerstung,European Bioinformatics Institute (EBI),,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_alexwjung_cancerrisk; lineage_gerstung-lab_cancerrisk,family_cancerrisk,https://github.com/alexwjung/CancerRisk; https://github.com/gerstung-lab/CancerRisk,2,2025-11-25-uk-biobank-6,1,2025-11-25,6,B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,confirmed; probable,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,Public metadata seed records strong but non-deterministic repository-publication-application evidence.; Public metadata seed records a unique repository-publication-application evidence chain.; available_notice_lineage_evidence
46122,Characterizing the contribution of short tandem repeats to human phenotypes.,2019-04-10,Dr Melissa Gymrek,"University of California, San Diego",,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
47267,Cross-diagnostic and cross-platform multimodal analysis of UK Biobank imaging data,2019-03-25,Dr Janine Bijsterbosch,Washington University in St. Louis,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_personomicslab_popmodel_ml_mh; lineage_tongluobing_mh_in_ukb,family_mh-in-ukb; family_popmodel-ml-mh,https://github.com/PersonomicsLab/popmodel_ML_MH; https://github.com/tongluobing/MH_in_UKB,2,2025-10-20-uk-biobank-2; 2025-11-12-uk-biobank,2,2025-11-12,2,C; repo-publication-application chain to an existing baseline app; A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,confirmed; ambiguous,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,"Evidence is too generic to assign an application.; The MH_in_UKB code availability chain and paper evidence link to UKB application 47267, already present in the fixed broad-48 baseline.; Repository-linked DOI/PMID maps through UKB Schema 19/24 to multiple applications.; available_notice_lineage_evidence"
48388,Precision Retinal Biomarkers for Cognitive Impairment,2019-05-09,Dr Ruogu Fang,University of Florida,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_hewramanwaran_retinapd; lineage_lab-smile_retinapd,family_retinapd,https://github.com/hewramanwaran/RetinaPD; https://github.com/lab-smile/RetinaPD,2,2025-12-08-uk-biobank-6,1,2025-12-08,8,B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION; A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,confirmed; probable,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,Public metadata seed records strong but non-deterministic repository-publication-application evidence.; Unique repository-linked DOI/PMID maps through UKB Schema 19/24 to one application.; available_notice_lineage_evidence
49777,Identification of genetic and lifestyle risk factors of unhealthy brain ageing to direct mechanistic studies using post-mortem brain tissue,2019-09-30,Dr Greg Sutherland,University of Sydney,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
51064,"Understanding the relationship between genomics, eye imaging, and neurodegeneration",2020-03-09,Dr Benjamin Goudey,University of Melbourne,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_kevmanderson_ukbcc; lineage_laura-ponting_ukbcc,family_ukbcc,https://github.com/kevmanderson/ukbcc; https://github.com/laura-ponting/ukbcc,2,2025-11-25-uk-biobank-4,1,2025-11-25,8,B,confirmed; ambiguous,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,Two or more candidate applications have similar evidence scores.; available_notice_lineage_evidence
51157,Stratification and modelling of competing risks in cardiovascular disease events based on multi-level patient characteristics and genetics,2019-11-04,Professor Roland Eils,Charite - Universitatsmedizin Berlin,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
52293,"Large-scale whole genome sequencing of the UK Biobank cohort to generate and evaluate therapeutic hypotheses regarding targets, biomarkers and pathways implicated in disease",2020-02-03,Dr Adrian Cortes,"Janssen Research And Development, LLC",,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
52887,Leveraging medical images and deep learning to characterize biological age,2019-09-13,Professor Chirag Patel,Harvard Medical School,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_deep-learning-and-aging_main-pipeline-and-images-based-models-pipeline,family_main-pipeline-and-images-based-models-pipeline-deep-learning-and-aging-main-pipeline-and-images-based-models-pipeline,https://github.com/Deep-Learning-and-Aging/Main-pipeline-and-Images-based-models-pipeline; https://github.com/deep-learning-and-aging/main-pipeline-and-images-based-models-pipeline,2,2026-03-25-uk-biobank,1,2026-03-25,8,C,confirmed; unresolved,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,Evidence is too generic to assign an application.; available_notice_lineage_evidence
55288,"Early life, adulthood, and genomic risk factors for early-onset cancers",2019-11-29,Dr Yin Cao,Washington University in St. Louis,,,,MAIN_EXTRA_6,0,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
55955,Advancing personalised medicine for psychiatric diseases through integrative GPCR pharmacogenomics,2020-06-24,Dr Alexander Hauser,University of Copenhagen,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_deepgohil_gogogpcr; lineage_petergerlach1_gogogpcr,family_gogogpcr,https://github.com/deepgohil/gogoGPCR; https://github.com/petergerlach1/gogoGPCR,2,2025-12-08-uk-biobank,1,2025-12-08,16,B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION; B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY,confirmed; probable,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,Public metadata seed records strong but non-deterministic repository-publication-application evidence.; available_notice_lineage_evidence
56757,Developing chronic disease models to inform health policy and guide treatment decisions,2020-03-06,Professor Borislava Mihaylova,University of Oxford,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_anyajacobs_ukbiobank; lineage_anyalasagne1_ukbiobank; lineage_rooty29_ukbiobank; lineage_zhishenppp_ukbiobank,family_anyajacobs_ukbiobank; family_anyalasagne1_ukbiobank; family_rooty29_ukbiobank; family_zhishenppp_ukbiobank,https://github.com/Rooty29/UKBiobank; https://github.com/anyajacobs/UKBiobank; https://github.com/anyalasagne1/UKBiobank; https://github.com/zhishenPPP/UKBiobank,4,2025-11-13-uk-biobank-6,1,2025-11-13,4,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION,confirmed; probable,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,Unique repository-linked DOI/PMID maps through UKB Schema 19/24 to one application.; Public metadata seed records strong but non-deterministic repository-publication-application evidence.; available_notice_lineage_evidence
57232,Estimating the overall impact of genetic variation on morbidity and mortality and assessing differential risk conditional on environmental and genetic factors.,2020-04-30,Professor Paul Franks,Lund University,,,,MAIN_EXTRA_6,0,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
59070,Statistical machine learning of wearable sensor data to predict disease outcomes,2020-04-21,Dr Aiden Doherty,University of Oxford,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
61054,Social and Environmental Adversity in Relation to All-Cause Mortality,2020-05-19,Ms Cornelia van Duijn,University of Oxford,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
61666,Sexually antagonistic selection in humans,2020-08-17,Professor Mark Kirkpatrick,University of Texas (UT Austin),,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_harpak-lab_gxsex,family_gxsex,https://github.com/harpak-lab/GxSex,1,2026-03-31-uk-biobank-4,1,2026-03-31,38,B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY,confirmed; probable,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,Public metadata seed records strong but non-deterministic repository-publication-application evidence.; available_notice_lineage_evidence
61785,Physiological and Bioinformatics Analyses of Genetic Variants in the Glucagon Receptor,2021-02-23,Dr Nicolai Wewer Albrechtsen,University of Copenhagen,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
62254,Optimisation of time use for health and wellbeing,2020-11-25,Dr Dorothea Dumuid,University of South Australia,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
64823,A Genomic Data Science Framework for the 1000 Arab genome project,2021-03-01,Professor Andreas Henschel,Khalifa University of Science and Technology,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
65805,Genetic factors on Type 2 diabetes and hypertension,2020-11-06,Professor Huiying Zhao,Sun Yat-Sen University,,,,MAIN_EXTRA_6,0,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
66995,"Prediction of haplotypes, genotypes, parental-of-origin and applications in biobanks.",2021-03-01,Dr Olivier Delaneau,University of Lausanne,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_23andme-jaredo_shapeit5; lineage_barneyhill_shapeit5; lineage_josephlalli_shapeit5; lineage_m-hakmi_shapeit5; lineage_odelaneau_shapeit5; lineage_rimanb_shapeit5; lineage_rwk-unil_shapeit5; lineage_sunrisefor_shapeit5; lineage_toseph_shapeit5; lineage_victorasua_shapeit5,family_shapeit5,https://github.com/23andme-jaredo/shapeit5; https://github.com/JosephLalli/shapeit5; https://github.com/M-Hakmi/shapeit5; https://github.com/RimanB/shapeit5; https://github.com/Toseph/shapeit5; https://github.com/barneyhill/shapeit5; https://github.com/odelaneau/shapeit5; https://github.com/rwk-unil/shapeit5; https://github.com/sunrisefor/shapeit5; https://github.com/victorasua/shapeit5,10,2025-11-13-uk-biobank,1,2025-11-13,10,B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,confirmed; probable,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,Public metadata seed records strong but non-deterministic repository-publication-application evidence.; Public metadata seed records a unique repository-publication-application evidence chain.; available_notice_lineage_evidence
69610,Genetic stratification of immunosuppressive drugs on neurodegenerative disorders incidence,2021-05-04,Dr Cynthia Sandor,Cardiff University,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
72911,Stratification of complex phenotypes focusing on Inflammatory Bowel Disease and co-morbidities: trialling novel methods,2021-06-22,Professor Sarah Ennis,University of Southampton,,,,final_expanded_new_from_remaining_23,0,0,0,1,new_from_remaining_23_review,confirmed_after_remaining_23_review,1,lineage_parsboy1987_genepy-2,family_genepy-2,https://github.com/parsboy1987/GenePy-2,1,2025-11-14-uk-biobank-2,1,,1,C; repo-publication-UKB application chain,confirmed,remaining-23 public evidence review,remaining-23 public evidence review,new unique application from remaining 23 review,Evidence is too generic to assign an application.; The GenePy-2 project has a public repo-publication chain and UKB publication metadata reports application 72911.
74395,Interpretion of health data with artificial intelligence for study of cardiovascular risk factors and their relation to diseases,2021-06-16,Professor Pim van der Harst,University Medical Center Groningen,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
79957,Deep learning based causal inference methods for variant interpretation,2022-03-10,Professor Wing Hung Wong,Stanford University,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
84103,Genomic approaches to relating cardiovascular structure and function to heart failure for the purposes of drug discovery.,2022-09-20,Dr James Priest,Tenaya Therapeutics Inc.,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_tenayatherapeutics_genetic-survival-analysis-in-ukb,family_genetic-survival-analysis-in-ukb,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB,1,2025-10-15-uk-biobank-8; 2025-10-20-uk-biobank,2,2025-10-15,17,A1_DIRECT_APP_ID,confirmed,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,Public metadata seed records a unique repository-publication-application evidence chain.; available_notice_lineage_evidence
84709,Risk and prognosis factors of cardiovascular disease on different genetic background,2022-02-22,Dr Zhaowei Zhu,Second Xiangya Hospital of Central South University,10.1016/j.crtox.2025.100226,,In utero tobacco exposure and offspring childhood cancers: A multicohort analysis,final_expanded_new_from_remaining_23,0,0,0,1,new_from_remaining_23_review,confirmed_after_remaining_23_review,1,lineage_xx2383_uk-biobank-study-1,family_uk-biobank-study-1,https://github.com/xx2383/UK-Biobank-study-1,1,2025-10-15-uk-biobank; 2025-10-15-uk-biobank-6,2,,2,C; repo-publication-UKB application chain,confirmed,remaining-23 public evidence review,remaining-23 public evidence review,new unique application from remaining 23 review,Evidence is too generic to assign an application.; Prior repository metadata tied xx2383/UK-Biobank-study-1 to DOI 10.1016/j.crtox.2025.100226. The linked UKB project page reports application 84709 and a related publication on the same exposure/outcome chain.
87802,Assessment of frailty and biological age using multi-modal deep learning,2022-07-13,,Imperial College London,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_iff-0303_ukbb_risk; lineage_yayapa_ukbb_risk,family_ukbb-risk,https://github.com/IFF-0303/ukbb_risk; https://github.com/yayapa/ukbb_risk,2,2025-12-02-uk-biobank,1,2025-12-02,4,B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION; A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,confirmed; probable,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,Public metadata seed records strong but non-deterministic repository-publication-application evidence.; Unique repository-linked DOI/PMID maps through UKB Schema 19/24 to one application.; available_notice_lineage_evidence
88159,"Fine-mapping, genetic correlation and genetic risk prediction for complex traits in different populations",2022-08-25,,Huazhong University of Science and Technology,,,,STRICT_21,1,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,1,lineage_biostatshao_omniprs,family_omniprs,https://github.com/biostatShao/OmniPRS,1,2026-03-31-uk-biobank-3,1,2026-03-31,1,A1_DIRECT_APP_ID,confirmed,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,available_notice_lineage_evidence,Public metadata seed records a unique repository-publication-application evidence chain.; available_notice_lineage_evidence
88878,The cardiovascular digital twin of the adult population: defining the population ranges.,2022-08-25,,King's College London,,,,BROAD_EXTRA_21,0,0,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
89197,Effects of copy number variants on the morphological structure of the brain across several neurodevelopmental disorders.,2023-06-29,,"STALICLA R&D, S.L.",,,,final_expanded_new_from_remaining_23,0,0,0,1,new_from_remaining_23_review,probable_after_remaining_23_review,1,lineage_stalicla-rnd_ukbbmriutils,family_ukbbmriutils,https://github.com/STALICLA-RnD/UkbbMriUtils,1,2026-04-08-uk-biobank,1,,2,C; organization/project/topic consistency plus public UKB project evidence,probable,remaining-23 public evidence review,remaining-23 public evidence review,new unique application from remaining 23 review,Evidence is too generic to assign an application.; STALICLA-RnD repository family aligns with the STALICLA application on CNV effects on brain morphology. Public project metadata gives UKB application 89197 and start date 2023-06-29.
92005,"Integrative analysis of genomic, molecular, cellular, and biochemical measures to inform cancer etiology",2022-09-21,,National Cancer Institute,,,,MAIN_EXTRA_6,0,1,1,1,previously_confirmed_baseline_48,confirmed_by_researcher,0,,,,0,,1,,0,,,archived researcher-confirmed manual crosswalk,archived researcher-confirmed manual crosswalk,curated_app_only_lower_bound_1,curated_app_only_lower_bound_1
