application_id,application_title,notice_id,notice_date,mapping_status,eligible_for_primary_timing,lineage_id,repo_url,evidence_class,evidence_type,source,reviewer_note
23668,Genetic and environmental factors including nutritional and lifestyle influences on neurodevelopmental disorders/traits (including impulsivity/compulsivity) and their brain correlates,2025-11-07-uk-biobank-6,2025-11-07,historical_pptx_notice_link,yes,,https://github.com/saigerutherford/evidence_embracing_nm,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records DOI 10.7554/eLife.85082 and application 23668.
24247,Searching Identity-by-descent segments in biobank-scale cohorts,2025-11-13-uk-biobank-3,2025-11-13,historical_pptx_notice_link,yes,,https://github.com/ZhiGroup/UDIP-ViT,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records the repository and DOI 10.1038/s42003-026-10430-6 for application 24247.
27837,Statistical Methods for Large Scale Genetic Studies,2025-10-17-uk-biobank-4,2025-10-17,historical_pptx_notice_link,yes,,https://github.com/msesia/ukbiobank_knockoffs,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 18,Historical deck records the repository
28784,A statistical framework for personalized nutrition recommendations based on genetic and anthropometric data.,2025-10-14-uk-biobank,2025-10-14,preserved_curated_link,yes,family_t2dm-ukb-predictions,https://github.com/Farida-Ali/T2DM_UKB_predictions; https://github.com/yochaiedlitz/T2DM_UKB_predictions,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
30418,Biomarker profiling by NMR metabolomics for the study of chronic disease risk and underlying risk factors,2025-11-18-uk-biobank,2025-11-18,historical_pptx_notice_link,yes,,https://github.com/sritchie73/UKB_NMR_CVD_prediction,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 18,Historical deck records the repository and Project 30418 in the linked paper.
31063,Methodological extensions to estimate genetic heritability and shared risk factors for phenotypes of the UK Biobank,2026-04-17-uk-biobank,2026-04-17,historical_pptx_notice_link,yes,,https://github.com/rahulg603/mtSwirl,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records mtSwirl and its paper for application 31063.
33923,Genetic risk prediction and variance in diverse populations,2025-08-11-ukbiobank,2025-08-11,historical_pptx_notice_link,yes,,https://github.com/mathilab/PRS_Height_Admixed_Populations,confirmed,historical_repo_paper_application_chain,empirical 2.pptx slide 17,Historical deck records PMC7642950 explicitly reporting Application 33923.
40161,Application of deep learning for the characterisation of motion patterns in the heart,2025-11-25-uk-biobank-2,2025-11-25,historical_pptx_notice_link,yes,,https://github.com/suniljmanohar/UKBiobank_ECG,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records the repository and DOI 10.22489/CinC.2024.126 for application 40161.
45761,Genetics of cancer risk and therapy response,2025-11-25-uk-biobank-6,2025-11-25,preserved_curated_link,yes,family_cancerrisk,https://github.com/alexwjung/CancerRisk; https://github.com/gerstung-lab/CancerRisk,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
46122,Characterizing the contribution of short tandem repeats to human phenotypes.,2025-10-03-uk-biobank,2025-10-03,historical_pptx_notice_link,yes,,https://github.com/LiterallyUniqueLogin/ukbiobank_strs,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records the repository and DOI 10.1016/j.xgen.2023.100458 for application 46122.
47267,Cross-diagnostic and cross-platform multimodal analysis of UK Biobank imaging data,2025-10-20-uk-biobank-2,2025-10-20,preserved_curated_link,yes,family_mh-in-ukb; family_popmodel-ml-mh,https://github.com/PersonomicsLab/popmodel_ML_MH; https://github.com/tongluobing/MH_in_UKB,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
47267,Cross-diagnostic and cross-platform multimodal analysis of UK Biobank imaging data,2025-11-12-uk-biobank,2025-11-12,preserved_curated_link,yes,family_mh-in-ukb; family_popmodel-ml-mh,https://github.com/PersonomicsLab/popmodel_ML_MH; https://github.com/tongluobing/MH_in_UKB,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Additional valid notice linked to the same application.
48388,Precision Retinal Biomarkers for Cognitive Impairment,2025-12-08-uk-biobank-6,2025-12-08,preserved_curated_link,yes,family_retinapd,https://github.com/hewramanwaran/RetinaPD; https://github.com/lab-smile/RetinaPD,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
49777,Identification of genetic and lifestyle risk factors of unhealthy brain ageing to direct mechanistic studies using post-mortem brain tissue,2025-11-07-uk-biobank-3,2025-11-07,historical_pptx_notice_link,yes,,https://github.com/binfnstats/ukb-IDEARS,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19; current lineage index,Deck identifies the repository and DOI 10.1371/journal.pone.0285416; current lineage index supplies the notice ID.
51064,"Understanding the relationship between genomics, eye imaging, and neurodegeneration",2025-11-25-uk-biobank-4,2025-11-25,preserved_curated_link,yes,family_ukbcc,https://github.com/kevmanderson/ukbcc; https://github.com/laura-ponting/ukbcc,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
51157,Stratification and modelling of competing risks in cardiovascular disease events based on multi-level patient characteristics and genetics,2025-10-02-uk-biobank,2025-10-02,historical_pptx_notice_link,yes,,https://github.com/thbuerg/MetabolomicsCommonDiseases,confirmed,historical_repo_paper_application_chain,empirical 2.pptx slide 17,Historical deck records the repository and paper text reporting application 51157.
51830,Identifying genetic factors for brain ageing,2025-12-01-uk-biobank-4,2025-12-01,preserved_curated_link,yes,family_sas-sample-extraction,https://github.com/samarpita-saha293/SAS_sample_extraction,preserved_curated,curated_application_or_family_link,curated_dmca_repository_family_links_tier4_candidate; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
52293,"Large-scale whole genome sequencing of the UK Biobank cohort to generate and evaluate therapeutic hypotheses regarding targets, biomarkers and pathways implicated in disease",2025-08-22-uk-biobank,2025-08-22,historical_pptx_notice_link,yes,,https://github.com/Ran485/biomarkers,confirmed,historical_repo_paper_application_chain,empirical 2.pptx slide 17,Historical deck records the repository and paper text reporting Application ID 52293.
52887,Leveraging medical images and deep learning to characterize biological age,2026-03-25-uk-biobank,2026-03-25,preserved_curated_link,yes,family_main-pipeline-and-images-based-models-pipeline-deep-learning-and-aging-main-pipeline-and-images-based-models-pipeline,https://github.com/Deep-Learning-and-Aging/Main-pipeline-and-Images-based-models-pipeline; https://github.com/deep-learning-and-aging/main-pipeline-and-images-based-models-pipeline,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
54520,"Constructing risk scores of longevity, dementia, and related disorders",2025-11-04-uk-biobank,2025-11-04,current_tier4_notice_link,yes,,https://github.com/lenamax2355/ukb_download_and_prep_template,ambiguous,existing_tier4_single_application_family,existing Broad55 Tier-4 input; current lineage evidence,Existing Tier-4 membership retains application 54520 from this single-application ambiguous family; the current lineage index supplies the notice ID.
55288,"Early life, adulthood, and genomic risk factors for early-onset cancers",2025-10-15-uk-biobank-2,2025-10-15,historical_pptx_notice_link,yes,,https://github.com/cdyoung2/UKBBModRisk,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 18,Historical deck records the repository and paper text reporting Application Number 55288.
55955,Advancing personalised medicine for psychiatric diseases through integrative GPCR pharmacogenomics,2025-12-08-uk-biobank,2025-12-08,preserved_curated_link,yes,family_gogogpcr,https://github.com/deepgohil/gogoGPCR; https://github.com/petergerlach1/gogoGPCR,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
56757,Developing chronic disease models to inform health policy and guide treatment decisions,2025-11-13-uk-biobank-6,2025-11-13,preserved_curated_link,yes,family_anyajacobs_ukbiobank; family_anyalasagne1_ukbiobank; family_rooty29_ukbiobank; family_zhishenppp_ukbiobank,https://github.com/Rooty29/UKBiobank; https://github.com/anyajacobs/UKBiobank; https://github.com/anyalasagne1/UKBiobank; https://github.com/zhishenPPP/UKBiobank,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
57232,Estimating the overall impact of genetic variation on morbidity and mortality and assessing differential risk conditional on environmental and genetic factors.,2025-11-25-uk-biobank-5,2025-11-25,historical_pptx_notice_link,yes,,https://github.com/danielcoral/SOPHIA_Cross_Sectional,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 18,Historical deck records the repository and paper text reporting approval ID 57232.
59070,Statistical machine learning of wearable sensor data to predict disease outcomes,2025-12-08-uk-biobank-3,2025-12-08,historical_pptx_notice_link,yes,,https://github.com/OxWearables/ukb_exome,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records application 59070 and DOI 10.1038/s41746-024-01062-3.
61054,Social and Environmental Adversity in Relation to All-Cause Mortality,2025-11-13-ukbiobank,2025-11-13,historical_pptx_notice_link,yes,,https://github.com/miargentieri/exposome-aging-ukb,confirmed,historical_repo_paper_application_chain,empirical 2.pptx slide 17,Historical deck records the repository and paper text reporting project application 61054.
61666,Sexually antagonistic selection in humans,2026-03-31-uk-biobank-4,2026-03-31,preserved_curated_link,yes,family_gxsex,https://github.com/harpak-lab/GxSex,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
61785,Physiological and Bioinformatics Analyses of Genetic Variants in the Glucagon Receptor,2025-12-08-uk-biobank-5,2025-12-08,historical_pptx_notice_link,yes,,https://github.com/nicwin98/UK-Biobank-GCG,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records the repository and DOI 10.1007/s00125-024-06160-1 for application 61785.
62254,Optimisation of time use for health and wellbeing,2025-11-13-uk-biobank-2,2025-11-13,historical_pptx_notice_link,yes,,https://github.com/florale/ukb-cancer-24h,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records the repository and DOI 10.1136/jech-2025-225231 for application 62254.
64823,A Genomic Data Science Framework for the 1000 Arab genome project,2025-10-17-uk-biobank-3,2025-10-17,historical_pptx_notice_link,yes,,https://github.com/AishaAlsuwaidi/Genetic-annotation-aware-dimensionality-reduction-in-UK-Biobank,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19; current lineage index,Deck identifies application 64823 and DOI 10.1186/s12859-023-05470-2; current lineage index supplies the notice ID.
65805,Genetic factors on Type 2 diabetes and hypertension,2025-08-11-ukbiobank-2,2025-08-11,historical_pptx_notice_link,yes,,https://github.com/andywxf/Predict_CAHD_by_ECG_on_UK_Biobank,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 18,Historical deck records the repository and protocol number 65805 in the linked paper.
66995,"Prediction of haplotypes, genotypes, parental-of-origin and applications in biobanks.",2025-11-13-uk-biobank,2025-11-13,preserved_curated_link,yes,family_shapeit5,https://github.com/23andme-jaredo/shapeit5; https://github.com/JosephLalli/shapeit5; https://github.com/M-Hakmi/shapeit5; https://github.com/RimanB/shapeit5; https://github.com/Toseph/shapeit5; https://github.com/barneyhill/shapeit5; https://github.com/odelaneau/shapeit5; https://github.com/rwk-unil/shapeit5; https://github.com/sunrisefor/shapeit5; https://github.com/victorasua/shapeit5,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
69610,Genetic stratification of immunosuppressive drugs on neurodegenerative disorders incidence,2025-10-02-uk-biobank-3,2025-10-02,historical_pptx_notice_link,yes,,https://github.com/aschalkamp/UKBBprodromalPD,confirmed,historical_repo_paper_application_chain,empirical 2.pptx slide 17,Historical deck records the repository and UKB application 69610.
72911,Stratification of complex phenotypes focusing on Inflammatory Bowel Disease and co-morbidities: trialling novel methods,2025-11-14-uk-biobank-2,2025-11-14,preserved_curated_link,yes,family_genepy-2,https://github.com/parsboy1987/GenePy-2,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
74395,Interpretion of health data with artificial intelligence for study of cardiovascular risk factors and their relation to diseases,2025-12-10-uk-biobank,2025-12-10,historical_pptx_notice_link,yes,,https://github.com/niekverw/ukbpheno,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records the repository and ukbpheno v1.0 DOI 10.1016/j.xpro.2022.101471 for application 74395.
79957,Deep learning based causal inference methods for variant interpretation,2025-12-08-uk-biobank-4,2025-12-08,historical_pptx_notice_link,yes,,https://github.com/SUwonglab/Epi-PRS,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records the repository and DOI 10.1073/pnas.2419202122 for application 79957.
84103,Genomic approaches to relating cardiovascular structure and function to heart failure for the purposes of drug discovery.,2025-10-15-uk-biobank-8,2025-10-15,preserved_curated_link,yes,family_genetic-survival-analysis-in-ukb,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
84103,Genomic approaches to relating cardiovascular structure and function to heart failure for the purposes of drug discovery.,2025-10-20-uk-biobank,2025-10-20,preserved_curated_link,yes,family_genetic-survival-analysis-in-ukb,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Additional valid notice linked to the same application.
84709,Risk and prognosis factors of cardiovascular disease on different genetic background,2025-10-15-uk-biobank,2025-10-15,preserved_curated_link,yes,family_uk-biobank-study-1,https://github.com/xx2383/UK-Biobank-study-1,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
84709,Risk and prognosis factors of cardiovascular disease on different genetic background,2025-10-15-uk-biobank-6,2025-10-15,preserved_curated_link,yes,family_uk-biobank-study-1,https://github.com/xx2383/UK-Biobank-study-1,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Additional valid notice linked to the same application.
87802,Assessment of frailty and biological age using multi-modal deep learning,2025-12-02-uk-biobank,2025-12-02,preserved_curated_link,yes,family_ukbb-risk,https://github.com/IFF-0303/ukbb_risk; https://github.com/yayapa/ukbb_risk,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
88159,"Fine-mapping, genetic correlation and genetic risk prediction for complex traits in different populations",2026-03-31-uk-biobank-3,2026-03-31,preserved_curated_link,yes,family_omniprs,https://github.com/biostatShao/OmniPRS,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
88878,The cardiovascular digital twin of the adult population: defining the population ranges.,2025-12-09-uk-biobank-3,2025-12-09,historical_pptx_notice_link,yes,,https://github.com/cdttk/biv-volumetric-meshing,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,Historical deck records the repository and DOI 10.1371/journal.pone.0327158 for application 88878.
89197,Effects of copy number variants on the morphological structure of the brain across several neurodevelopmental disorders.,2026-04-08-uk-biobank,2026-04-08,preserved_curated_link,yes,family_ukbbmriutils,https://github.com/STALICLA-RnD/UkbbMriUtils,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
92005,"Integrative analysis of genomic, molecular, cellular, and biochemical measures to inform cancer etiology",2025-10-15-uk-biobank-2,2025-10-15,historical_pptx_notice_link,yes,,https://github.com/cdyoung2/UKBBModRisk,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 18,Historical deck records the repository and paper text reporting Application Number 92005.
103356,Understanding the role of rare and common genetic variation in human phenotypes,2025-10-15-uk-biobank-5,2025-10-15,preserved_curated_link,yes,family_ukbython,https://github.com/adamelkholyy/ukbython,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
146079,Epidemiological and Genetic Risk Factors for keloid and hypertrophic scar,2026-04-01-uk-biobank-2,2026-04-01,preserved_curated_link,yes,family_keloids-clustering,https://github.com/anirudhj05/Keloids_Clustering,preserved_curated,curated_application_or_family_link,curated_dmca_repository_family_links_tier4_candidate; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
177030,Impacts of rapid environmental/societal changes on the genetic architecture of and selection on human traits,2025-12-08-uk-biobank-7,2025-12-08,preserved_curated_link,yes,family_human-sex-ratio,https://github.com/song88180/Human_sex_ratio,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
822932,Inherent and non-inherent factors for chronic diseases and multimorbidity,2026-04-14-uk-biobank,2026-04-14,preserved_curated_link,yes,family_ukbanalytica,https://github.com/Hinna0818/UKBAnalytica; https://github.com/blitz305/UKBAnalytica; https://github.com/lcx777-afk/UKBAnalytica,preserved_curated,curated_application_or_family_link,curated_dmca_application_links; curated_dmca_repository_family_links; ukb_dmca_notices.csv,Earliest valid date is used for the primary timing audit.
867484,Identifying predictors for persistent pain after joint replacement in osteoarthritis patients by integrative analysis of multimodal data,2025-11-25-uk-biobank,2025-11-25,historical_pptx_notice_link,yes,,https://github.com/Fmerella/Proteomics_UKBB,ambiguous,historical_repo_owner_application_chain,empirical 2.pptx slide 19,Historical deck records repository owner Federica Merella and application 867484.
