term_id,term_or_expression,regex,underlying_data_modality_or_product,why_it_implies_pre_policy_rap_exposure,official_ukb_source,official_evidence,effective_date,evidence_strength,used_in_layers
C2_DEEPVARIANT_GLNEXUS_WECALL,DeepVariant / GLnexus / WeCall,\b(?:DeepVariant|GLnexus|WeCall)\b,WES variant-calling pipeline,These are named WES small-variant calling and joint-genotyping tools in UKB exome documentation.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170,Category 170 says OQFE CRAMs were called with DeepVariant and joint-genotyped with GLnexus; earlier SPB used WeCall.,2021-11,high,C2|C6
C2_PVCF_GVCF,pVCF / gVCF,\b[pg]VCFs?\b,Sequence variant-call product,Project-level pVCFs and per-sample gVCFs are WES/WGS sequence variant-call products in UKB documentation.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170; https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=270,Category 170 documents exome gVCFs and pVCFs; Category 270 lists GraphTyper WGS variants in pVCF format.,2021-11,high,C2|C6
C2_CRAM_FASTQ,CRAM / FASTQ,\b(?:CRAMs?|FASTQs?)\b,Sequence alignment/read files,CRAM and FASTQ references in UKB WES/WGS contexts indicate sequence reads or alignments.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170; https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=270,UKB WES and WGS pages list CRAM files and describe FASTQ processing.,2021-11,high,C2|C6
C2_DRAGEN,DRAGEN,\bDRAGEN\b,DRAGEN WGS processing release,DRAGEN is the named UKB WGS reprocessing pipeline and category.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=185,"Category 185 is DRAGEN WGS and lists CRAM, gVCF, SV, STR, CNV, PLINK2 and BGEN outputs.",2023-11,high,C2|C6
C2_GRAPHTYPER_GATK_BWA,GraphTyper / BWA-mem / GATK variant calls,"\bGraphTyper\b|BWA[- ]mem|GATK[^.]{0,80}variant call",WGS GATK/GraphTyper processing release,These names identify the UKB WGS processing and joint-call release.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=270,Category 270 describes WGS data produced using BWA-mem/GATK and GraphTyper joint variant calling.,2021-11,high,C2|C6
C2_WGS_STRUCTURAL_PRODUCTS,"Manta, SV, STR, ExpansionHunter",\bManta[- ]called\b|\bExpansionHunter\b|whole genome (?:SV|STR|CNV) ,WGS structural variant and repeat products,These are named UKB WGS technical outputs rather than general genetics terms.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=185; https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=271,"Categories 185 and 271 list Manta-called, SV, STR, CNV and ExpansionHunter WGS products.",2021-11,high,C2|C6
C2_PHASED_SEQUENCE,phased sequence data / BEAGLE or SHAPEIT phased VCFs,"phased sequence|BEAGLE Phased VCFs?|SHAPEIT Phased VCFs?|150,?119 sequenced genomes",WGS phased VCF sequence product,UKB previous WGS releases include BEAGLE/SHAPEIT phased VCFs for sequenced genomes.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=271; https://community.ukbiobank.ac.uk/hc/en-gb/articles/26655145866269-Past-data-releases,Category 271 lists BEAGLE and SHAPEIT phased VCFs; release notes describe 200k WGS phased data.,2023-07,high,C2|C6
C3_RARE_CODING,rare coding variants / coding variation,rare coding variants?|coding variation,Likely WES/WGS coding variant analysis,UKB WES summary documentation centers on exome sequencing and coding variation.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170,Category 170 links the WES resource Exome sequencing and characterization of coding variation.,2021-11,medium,C3|C6
C3_LOF_PLOF,loss-of-function / pLoF / protein-truncating variants,protein[- ]truncating variants?|\bpLoF\b|predicted loss[- ]of[- ]function|loss[- ]of[- ]function variants?|\bLoF variants?\b|loss of function genetic variants,Likely WES/WGS rare coding variant analysis,LoF/pLoF/protein-truncating analyses commonly require sequence-resolved coding variation.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170,UKB WES documentation describes exome-derived small variants and coding variation resources.,2021-11,medium,C3|C6
C3_MISSENSE_NONSENSE,nonsense and missense / rare functional variants,nonsense (?:and )?missense|rare functional variants?|rare protein[- ]altering variants?|deleterious exonic variants?|rare deleterious variants?|protein coding variants?,Likely WES/WGS protein-coding variant analysis,These phrases are not generic genetics alone; they point to coding-sequence variant dependence.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170,"Category 170 describes WES targets, coding genes, and variant-call products.",2021-11,medium,C3|C6
C3_BURDEN_TEST,gene burden / variant burden / collapsing analysis,gene[- ]based burden|variant burden|burden test|collapsing analysis,Likely WES/WGS rare variant burden analysis,Burden/collapsing analyses in UKB linked publications often refer to exome or rare coding variant data.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170,UKB WES documentation identifies exome sequence variant products suited to rare variant analyses.,2021-11,medium,C3|C6
C3_HUMAN_KNOCKOUTS,human gene knockouts,human gene knockouts?,Likely WES/WGS loss-of-function discovery,Human knockout discovery normally depends on rare loss-of-function coding variants.,https://biobank.ndph.ox.ac.uk/ukb/label.cgi?id=170,UKB WES fields provide exome variant calls used to identify rare coding and LoF variants.,2021-11,medium,C3|C6
C4_OMOP,OMOP / OMOP Common Data Model,\bOMOP\b|Observational Medical Outcomes Partnership|common data model|\bOHDSI\b,"OMOP Common Data Model dataset, Field 20142",UKB release notes identify OMOP as a transformed dataset available on RAP in July 2023.,https://community.ukbiobank.ac.uk/hc/en-gb/articles/26655145866269-Past-data-releases; https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20142,Past releases list OMOP release on RAP in July 2023; Field 20142 is Present in OMOP dataset.,2023-07,medium,C4|C6
C5_UKB_RAP,UKB-RAP / UK Biobank Research Analysis Platform,UKB[- ]RAP|UK Biobank Research Analysis Platform|Research Analysis Platform service|UK Biobank \(UKB\) Research Analysis Platform|cloud-based UK Biobank Research Analysis Platform,Direct UKB-RAP analysis environment evidence,A pre-policy publication stating use of UKB-RAP directly establishes pre-policy RAP use.,https://community.ukbiobank.ac.uk/hc/en-gb/community/posts/19996604847133-Changing-the-way-UK-Biobank-data-is-made-available-to-researchers-around-the-world,The UKB transition notice identifies UKB-RAP as the cloud-based Research Analysis Platform.,2021,high,C5
C5_DNANEXUS,UKB DNAnexus / DNAnexus JupyterLab,UKB DNAnexus|DNAnexus JupyterLab|UK Biobank DNAnexus,Direct DNAnexus/UKB-RAP analysis environment evidence,DNAnexus/JupyterLab phrasing in a UKB publication is direct cloud-platform environment evidence.,https://community.ukbiobank.ac.uk/hc/en-gb/community/posts/19996604847133-Changing-the-way-UK-Biobank-data-is-made-available-to-researchers-around-the-world,UKB-RAP is the cloud-based platform used for hosted analyses; DNAnexus is the platform provider context.,2021,medium,C5
