layer,app_id,start_date,previous_classification,evidence_type,matched_term_or_expression,confidence,manual_review_flag,title,supporting_text_excerpt
C1,91747,2022-08-25,NEWLY_RAP_BOUND,explicit_sequence_data_wording,genome sequence data / genomic sequence data,HIGH,no,Racial Disparities in Head and Neck Cancer Diagnosis and Surgical Outcomes in the UK: A Retrospective...,"...l. Expected milestone: quantification of delays in diagnosis on survival and characteristics of patients at greatest risk of late diagnosis. Objective 3) HNC genetics: Whole exome/genome sequencing data will be used to explore the previously identified genome-wide HNC risk loci associations with age at diagnosis, ethnicity and other co-morbidities. Additional analyses, including..."
C1,88969,2022-09-16,NEWLY_RAP_BOUND,explicit_sequence_data_wording,genome sequence data / genomic sequence data,HIGH,no,Using the UK Biobank genome sequencing data as a reference panel for genotype imputation and genetic...,schema27_title: Using the UK Biobank genome sequencing data as a reference panel for genotype imputation and genetic ancestry analysis in statistical genetics applications schema27_notes: Genomics plc is engaged in a broad range of use cas...
C1,93379,2022-12-06,NEWLY_RAP_BOUND,explicit_sequence_data_wording,genome sequence data / genomic sequence data,HIGH,no,Identifying non-coding regulatory variants associated with mature B cell neoplasms and B cell mediated...,"...the immune response, recognising foreign antigens and differentiating into to plasma cells, which producing large quantities of antibodies specific to the invading antigen. Using genome sequencing datasets from B and plasma cells, we have identified thousands of cis-regulatory elements which regulate the expression of genes crucial to B cell differentiation. This project aims to..."
C3,16097,2016-01-01,NEWLY_RAP_BOUND,broader_contextual_sequence_evidence,gene burden / variant burden / collapsing analysis,MEDIUM_CONTEXTUAL,yes,Phenome-wide association studies of drug targets,"...ific Aim 1: To predict potential for repurposing or cardiovascular side effects of known drug targets using genetic information We will perform single variant analyses, as well as burden tests (combining all protein-disrupting variants within a gene), for all genes encoding known drugs targets in relation to cardiovascular outcomes, as well as with common cardiovascula..."
C3,17085,2016-01-01,NEWLY_RAP_BOUND,broader_contextual_sequence_evidence,gene burden / variant burden / collapsing analysis,MEDIUM_CONTEXTUAL,yes,Dissemination of shared genetics across phenotypes associated with reproductive health and related...,"...can hopefully help us to discover novel causal genetic mechanisms and potential biomarkers. Within this project we plan to run GWAS analyses using single marker, CNV and gene-wise burden tests, and combine the results with available data on traits from other cohorts in meta-analysis. As the next step we will run LD score regression across all phenotype pairs to discove..."
C3,16013,2016-02-01,NEWLY_RAP_BOUND,broader_contextual_sequence_evidence,loss-of-function / pLoF / protein-truncating variants,MEDIUM_CONTEXTUAL,yes,Integrative analysis of disease association variants and electronic medical records to delineate the...,"...k of certain complex diseases. Methods: Apply standard statistical tests such as logistic regression and fishers exact test to identify disease protective variants, or to identify loss-of-function variants or mendelian pathogenic variants associated with complex diseases. Currently we are interested in the following diseases, which will be based on diagnosis in electronic medical re..."
C3,48839,2019-10-01,UNCLEAR,broader_contextual_sequence_evidence,rare coding variants / coding variation,MEDIUM_CONTEXTUAL,yes,Evaluating the effects of coding variation in inflammatory genes in cardio-metabolic disease,"schema27_title: Evaluating the effects of coding variation in inflammatory genes in cardio-metabolic disease schema27_notes: Diabetes and pre-diabetes, which are associated with increased blood glucose (sugar) are very common conditions t..."
C3,24983,2017-02-16,NEWLY_RAP_BOUND,broader_contextual_sequence_evidence,loss-of-function / pLoF / protein-truncating variants,MEDIUM_CONTEXTUAL,yes,Generating effective therapeutic hypotheses from genomic and hospital linkage data,"...sociations with the tree-structure of ICD-10 codes and apply new statistical learning techniques to the summary data. A special class of genetic variants that we will focus on are protein-truncating variants (PTVs), commonly referred to as loss-of-function variants. Scanning for protective PTVs has been a successful strategy. These protective genetic variants reveal a process that is..."
C3,21677,2018-03-27,NEWLY_RAP_BOUND,broader_contextual_sequence_evidence,loss-of-function / pLoF / protein-truncating variants,MEDIUM_CONTEXTUAL,yes,Genetic and environment studies of myopia and refractive error in the UK Biobank,"...l also request genetic data from all participants to conduct genomewide association studies, estimate rare variant allele frequencies, and identify individuals with potential rare loss-of-function variants within refractive error loci. No biological samples will be requested for this phase of the study. website_excerpt: Refractive errors, which include myopia (shortsightedness) and..."
C3,32974,2019-01-09,NEWLY_RAP_BOUND,broader_contextual_sequence_evidence,nonsense and missense / rare functional variants,MEDIUM_CONTEXTUAL,yes,"Rare, functionally validated, nonsense and missense mutations and human anthropometric and metabolic traits","schema27_title: Rare, functionally validated, nonsense and missense mutations and human anthropometric and metabolic traits schema27_notes: We know that some people carry rare mutations that disrupt the normal function of critical metabolic pathwa..."
C3,42890,2019-02-22,NEWLY_RAP_BOUND,broader_contextual_sequence_evidence,loss-of-function / pLoF / protein-truncating variants,MEDIUM_CONTEXTUAL,yes,Association of loss-of-function variants and incompletely penetrant alleles with UKBB phenotypes,"schema27_title: Association of loss-of-function variants and incompletely penetrant alleles with UKBB phenotypes schema27_notes: Even though we have created genetic data for a very large number of people, we still don't know the clinica..."
C4,98512,2025-08-28,MIXED,other_pre_policy_rap_only_product,OMOP / OMOP Common Data Model,MEDIUM_VERIFIED_PRODUCT,yes,"Discovering Polytopes in High Dimensional, Heterogeneous Datasets using Bayesian Archetypal Analysis","..., such as electronic medical records, national health registries, and insurance claims data provide vast amounts of high granularity heterogeneous data. An international standard (OMOP) has been developed for health data and accelerating evidence generation from RWD. The EU has recently adopted the same standard for the European Health Data & Evidence Network (E..."
C5,19934,2016-05-01,NEWLY_RAP_BOUND,direct_pre_policy_rap_use_evidence,UKB-RAP / UK Biobank Research Analysis Platform,HIGH_DIRECT_PRE_POLICY_RAP,no,Statistical and Computational Genetics Methods Development,"...: The first release of UK Biobank whole-genome sequence data contains 150,119 genomes. We present an open-source pipeline for filtering, phasing, and indexing these genomes on the cloud-based UK Biobank Research Analysis Platform. This pipeline makes it possible to apply haplotype-based methods to UK Biobank whole-genome sequence data. The pipeline uses BCFtools for marker filtering, Beagle for genotype ph..."
C6,2112,2013-03-04,NEWLY_RAP_BOUND,explicit_sequence_data_wording,exome sequencing / exome sequence,MEDIUM_PUBLICATION_MODALITY_PRE_POLICY,yes,Automated macular thickness measurements and association with potential risk factors and systemic disease,"...the general population. Methods: UK Biobank participants of European ancestry with available spectral-domain optical coherence tomography (OCT) passing quality control metrics and exome sequencing data were included. Regression analyses using both linear and recessive models tested for the association between the p.Asn1868Ile variant and total retinal thickness, clinically..."
C6,9055,2015-01-05,NEWLY_RAP_BOUND,broader_contextual_sequence_evidence,gene burden / variant burden / collapsing analysis,MEDIUM_PUBLICATION_MODALITY_PRE_POLICY,yes,The Genetics of type 2 diabetes aetiology and progression,"...r, we found no enrichment of missense or null ONECUT1 variants among 484 individuals clinically suspected of MODY, in whom all known genes had been excluded. Finally, using a rare variant burden test in the UK Biobank European cohort, we identified a significant association between heterozygous ONECUT1 null variants and type 2 diabetes (P = 0.006) but did not find an asso..."
C6,9072,2015-01-05,NEWLY_RAP_BOUND,explicit_sequence_data_wording,exome data / exome variants,MEDIUM_PUBLICATION_MODALITY_PRE_POLICY,yes,"The Genetics of anthropometric traits ? Height, weight, BMI and waist circumference",...est whether PLIN1 protein-truncating variants (PTVs) cause lipodystrophy in a large population-based cohort. METHODS: We identified individuals with PLIN1 PTVs in individuals with exome data in the UK Biobank. We performed gene-burden testing for individuals with PLIN1 PTVs. We replicated the associations using data from the T2D Knowledge portal. We performed a phenom...
C6,9905,2014-12-01,UNCLEAR,explicit_sequence_data_wording,exome sequencing / exome sequence,MEDIUM_PUBLICATION_MODALITY_PRE_POLICY,yes,Using genetics to elucidate the relationship between socioeconomic/behavioural traits and disease,"...A damage response pathways. Previous genetic studies have focussed on identifying common variants associated with LOY, which we now extend to rarer, protein-coding variation using exome sequences from 82,277 male UK Biobank participants. We find that loss of function of two genes - CHEK2 and GIGYF1 - reach exome-wide significance. Rare alleles in GIGYF1 have not previousl..."
C6,10438,2015-05-01,NEWLY_RAP_BOUND,explicit_sequence_data_wording,exome sequencing / exome sequence,MEDIUM_PUBLICATION_MODALITY_PRE_POLICY,yes,Application of fast mixed model association and principal component analysis methods,"...ies to date have generally been underpowered to systematically evaluate the phenotypic impact of very rare coding variants. We leveraged extensive haplotype sharing between 49,960 exome-sequenced UK Biobank participants and the remainder of the cohort (total n ≈ 500,000) to impute exome-wide variants with accuracy R2 > 0.5 down to minor allele frequency (MAF) ~0.00005. As..."
C6,1251,2015-07-01,NEWLY_RAP_BOUND,explicit_sequence_data_wording,exome sequencing / exome sequence,MEDIUM_PUBLICATION_MODALITY_PRE_POLICY,yes,"The metabolically healthy obese and metabolically obese normal-weight in the UK Biobank: Prevalence, genes...","...ariants to type 2 diabetes risk and age of diagnosis, and the extent to which their impact is affected by overall genetic susceptibility, across three ancestry groups.MethodsUsing exome sequencing data of 160,615 individuals of the UK Biobank and 18,797 individuals of the BioMe Biobank, we identified 746 carriers of rare functional HNF1A variants (minor allele frequency ≤1%..."
C6,12514,2015-08-28,NEWLY_RAP_BOUND,explicit_sequence_data_wording,exome sequencing / exome sequence,MEDIUM_PUBLICATION_MODALITY_PRE_POLICY,yes,The limits of predicting complex traits and diseases from genetic data,"...reliable, robust and highly resource-efficient. We then apply fastGWA to 2,173 traits on array-genotyped and imputed samples from 456,422 individuals and to 2,048 traits on whole-exome-sequenced samples from 46,191 individuals in the UKB."
C6,14631,2015-10-01,NEWLY_RAP_BOUND,explicit_sequence_data_wording,whole exome sequencing / whole-exome sequence,MEDIUM_PUBLICATION_MODALITY_PRE_POLICY,yes,Genetic and environmental influences on ageing well,"...applications; yet, evidence is inconclusive. We studied common and rare SLCO1B1 variants in up to 64,000 patients from UK Biobank prescribed simvastatin or atorvastatin, combining whole-exome sequencing data with up to 25-year routine clinical records. We studied 51 predicted gain/loss-of-function variants affecting OATP1B1. Both SLCO1B1 *5 alone and the SLCO1B1 *15 haplotype inc..."
